year,source_category,quantity_co2e_tonnes,facility_id
2023,Fugitives (Leakage),1454.8856,224
2023,Stationary Fuel Combustion,295108.5896,224
2023,Industrial Process,73809.7326,224
2023,On-site Transportation,2486.23632,224
2022,CO2 from Biomass Combustion,0.0,224
2022,Fugitives (Leakage),1249.08,224
2022,Stationary Fuel Combustion,256609.9445,224
2022,Industrial Process,74994.48,224
2022,On-site Transportation,2494.955,224
2022,Stationary Fuel Combustion,378618.547,1126
2022,Industrial Process,1726.4,1126
2022,On-site Transportation,470.8556,1126
2024,Stationary Fuel Combustion,352079.7502,1126
2024,Industrial Process,72.58602,1126
2024,On-site Transportation,538.977465,1126
2023,Stationary Fuel Combustion,405907.3813,1126
2023,Industrial Process,71.5,1126
2023,On-site Transportation,672.861185,1126
2024,Stationary Fuel Combustion,11155.085,800
2022,Stationary Fuel Combustion,2542.1581,581
2022,Industrial Process,50530.496,581
2024,Stationary Fuel Combustion,10899.1328,799
2024,On-site Transportation,16.135,799
2024,Stationary Fuel Combustion,27617.16587,813
2024,Industrial Process,757.133,813
2024,CO2 from Biomass Combustion,0.0,935
2024,Stationary Fuel Combustion,11362.298,935
2024,On-site Transportation,11258.792,935
2024,Stationary Fuel Combustion,122955.108,352
2024,CO2 from Biomass Combustion,0.0,746
2024,Stationary Fuel Combustion,9224.68913,746
2024,Industrial Process,1019.55384,746
2024,On-site Transportation,781.23153,746
2024,CO2 from Biomass Combustion,0.0,212
2024,Stationary Fuel Combustion,330667.678,212
2024,Industrial Process,591422.5518,212
2024,On-site Transportation,4790.6053,212
2024,Stationary Fuel Combustion,54680.124,485
2024,On-site Transportation,56.3902,485
2023,Fugitives (Leakage),462.28684,1059
2023,Stationary Fuel Combustion,5892.91399,1059
2023,Fugitives (Venting),12018.54996,1059
2023,Fugitives (Leakage),104.80107,1060
2023,Stationary Fuel Combustion,361.09657,1060
2023,Fugitives (Venting),2264.25386,1060
2024,CO2 from Biomass Combustion,0.0,223
2024,Stationary Fuel Combustion,1958.63,223
2024,On-site Transportation,389.715,223
2022,CO2 from Biomass Combustion,0.0,175
2022,Stationary Fuel Combustion,51733.4437,175
2022,On-site Transportation,1424.7122,175
2022,Wastewater,809.628,175
2024,Stationary Fuel Combustion,421779.7282,444
2024,Stationary Fuel Combustion,25768.90466,132
2024,Fugitives (Flaring),1759.0,788
2024,Stationary Fuel Combustion,10642.77,788
2022,Fugitives (Flaring),7267.40727,1669
2022,Stationary Fuel Combustion,32814.3353,1669
2022,Industrial Process,3091.2306,1669
2022,On-site Transportation,38.0388,1669
2022,Wastewater,512.2824,1669
2024,Fugitives (Flaring),6527.83763,1669
2024,Stationary Fuel Combustion,33516.1204,1669
2024,Industrial Process,804.231672,1669
2024,On-site Transportation,36.2368,1669
2024,Wastewater,2090.2336,1669
2024,CO2 from Biomass Combustion,0.0,243
2024,Stationary Fuel Combustion,86544.04055,243
2024,On-site Transportation,1492.2939,243
2024,Waste,22437.52,243
2024,Fugitives (Leakage),3167.59736,1748
2024,Stationary Fuel Combustion,14518.47941,1748
2024,Fugitives (Venting),5650.65417,1748
2024,Stationary Fuel Combustion,44734.678,627
2024,Industrial Process,4694.28,627
2024,On-site Transportation,726.0961,627
2024,CO2 from Biomass Combustion,0.0,407
2024,Stationary Fuel Combustion,417.98919,407
2024,Waste,64579.512,407
2024,Wastewater,12965.96,407
2024,Stationary Fuel Combustion,59384.25782,413
2024,Industrial Process,544.144847,413
2024,On-site Transportation,198.9532,413
2024,Stationary Fuel Combustion,21294.046,440
2024,Industrial Process,15770.0,440
2024,On-site Transportation,290.452145,440
2023,CO2 from Biomass Combustion,0.0,335
2023,Stationary Fuel Combustion,124502.9062,335
2023,On-site Transportation,2345.721,335
2024,Fugitives (Flaring),2527.45415,160
2024,Fugitives (Leakage),89.4488,160
2024,Stationary Fuel Combustion,37051.7781,160
2024,Stationary Fuel Combustion,12304.864,1127
2024,Industrial Process,1199.02,1127
2024,On-site Transportation,245.88172,1127
2024,Stationary Fuel Combustion,742.936,516
2024,On-site Transportation,2775.035,516
2024,Waste,64759.24,516
2024,Stationary Fuel Combustion,38083.867,801
2023,Stationary Fuel Combustion,1349.9566,1735
2023,On-site Transportation,58.76932,1735
2023,Wastewater,1967.476,1735
2024,Fugitives (Leakage),1.27,1735
2024,Stationary Fuel Combustion,1269.4885,1735
2024,Industrial Process,1424.4091,1735
2024,On-site Transportation,45.43005,1735
2024,Wastewater,1446.76,1735
2024,CO2 from Biomass Combustion,0.0,175
2024,Stationary Fuel Combustion,55206.5512,175
2024,On-site Transportation,1190.7867,175
2024,Wastewater,722.0985,175
2024,Stationary Fuel Combustion,14669.25,585
2023,CO2 from Biomass Combustion,0.0,257
2023,Stationary Fuel Combustion,58.044,257
2023,On-site Transportation,2658.55565,257
2023,Waste,119928.314,257
2023,Stationary Fuel Combustion,14646.04,585
2024,Fugitives (Flaring),437.99595,9
2024,Stationary Fuel Combustion,947202.0761,9
2024,Industrial Process,3254970.996,9
2024,On-site Transportation,24120.25,9
2024,Stationary Fuel Combustion,21865.9292,1204
2024,On-site Transportation,9.2801,1204
2024,Fugitives (Flaring),8639.77,1181
2024,Fugitives (Leakage),47.2864,1181
2024,Stationary Fuel Combustion,1149.279,1181
2024,On-site Transportation,359.399,1181
2024,Wastewater,207.18511,1181
2022,Stationary Fuel Combustion,1799.94002,1756
2022,On-site Transportation,1.37612,1756
2024,Stationary Fuel Combustion,50788.46435,905
2024,On-site Transportation,710.533021,905
2024,Stationary Fuel Combustion,9514.612,867
2024,On-site Transportation,9.39015,867
2023,CO2 from Biomass Combustion,0.0,360
2023,Stationary Fuel Combustion,14700.989,360
2023,On-site Transportation,352.2896,360
2024,CO2 from Biomass Combustion,0.0,360
2024,Stationary Fuel Combustion,15287.6355,360
2024,On-site Transportation,305.9006,360
2024,Stationary Fuel Combustion,11992.9919,933
2024,Industrial Process,5561.9623,933
2024,On-site Transportation,439.4371,933
2024,CO2 from Biomass Combustion,0.0,1357
2024,Fugitives (Flaring),59.92,1357
2024,Stationary Fuel Combustion,5.45,1357
2024,On-site Transportation,207.698,1357
2024,Waste,112140.0,1357
2024,CO2 from Biomass Combustion,0.0,455
2024,Stationary Fuel Combustion,55235.5311,455
2024,Industrial Process,839.8151,455
2024,On-site Transportation,2159.2719,455
2024,Waste,2107.9846,455
2024,Fugitives (Flaring),8489.9453,149
2024,Fugitives (Leakage),324.366,149
2024,Stationary Fuel Combustion,390141.4039,149
2024,Industrial Process,38972.7844,149
2024,On-site Transportation,113.8741,149
2024,Fugitives (Venting),41.207366,149
2024,Wastewater,396.3277,149
2023,Stationary Fuel Combustion,492.708,1323
2023,On-site Transportation,835.069,1323
2023,Waste,54642.923,1323
2024,Stationary Fuel Combustion,316.19645,1323
2024,On-site Transportation,925.7341,1323
2024,Waste,57962.684,1323
